Band Name,TP SPW,7m SPW,12m SPW,Center,Bandwidth,F_Lower,F_Upper,F_Resolution,col9,Line,Rest (GHz),V_Lower,V_Upper,V_Res.,_1,References
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"CH3CH2CN  11(2,9)–10(2,8)",99.68151,,,2.94,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"(13)CH3CCH 6-5",99.75655,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,S18O,99.803794,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,SO 4(5)-4(4),100.02956,,,2.93,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,***,HC3N 11-10,100.0763,,,2.93,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,H2CCO,100.094514,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,NS+,100.198,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,HC3N 11-10 v6=1,100.240584,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,*,HC3N 11-10 v7=1,100.32241,,,2.92,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"CH3OCH3 6(2,5)–6(1,6) EA+AE",100.460412,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"CH3OCH3 6(2,5)–6(1,6) EE",100.463066,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"CH3OCH3 6(2,5)–6(1,6) AA",100.465708,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,HC3N 11-10 v7=1,100.466174,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,CH3NC,100.524249,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,H2CCN,100.5980668,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"CH3CH2CN  11(1,10)–10(1,9)",100.614291,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,*,"NH2CN 5(1,4)-4(1,3)",100.6295,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,CH3OH,100.638872,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,HC3N 11-10 v7=2,100.708784,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,HC3N 11-10 v7=2,100.711064,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,HC3N 11-10 v7=2,100.714395,,,2.91,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"SO2 2(2,0)-3(1,3)",100.878105,,,2.9,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,C2H5OH,100.9901131,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"CH2CHO  5(2,4)–4(2,3)",101.024438,,,2.9,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,CH3SH 4(-1)–3(-1) E,101.02975,,,2.9,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,*,CH3SH  4(0)–3(0) A,101.13916,,,2.89,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,*,CH3SH  4(0)–3(0) E,101.13965,,,2.89,,Jones et al. (2008)
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,H2C(34)S,101.2843139,,,,,
Cont 2,27,26,35,100.5,1.875,99.5625,101.4375,0.000976563,,"H2CO  6(1,5)–6(1,6)",101.332987,-309.2,,2.89,,Jones et al. (2008)

